taxon,parameter,lower,upper,unit,evidence_status,basis,url
Spinosaurus mirabilis,crest_height_m,0.35,0.50,m,sensitivity_range,"The Science description establishes an exceptionally tall crest; public coverage reports about 50 cm. The exact living height remains reconstruction-sensitive.",https://www.science.org/doi/10.1126/science.adx5486
Spinosaurus mirabilis,crest_chord_m,0.30,0.40,m,sensitivity_range,"The describing paper states that an isometrically scaled bony crest would measure about 40 cm in length. The lower bound allows for reconstruction uncertainty.",https://www.science.org/doi/10.1126/science.adx5486
Spinosaurus mirabilis,crest_thickness_m,0.03,0.09,m,assumption,"No published transverse crest thickness was found in the accessible description. This deliberately broad range must be replaced with CT or scaled specimen measurements.",https://www.science.org/doi/10.1126/science.adx5486
Spinosaurus aegyptiacus,crest_height_m,0.062,0.20,m,sensitivity_range,"UCPC-2 is 62 mm high at its apex, but the crest is eroded and its original height is unknown. The upper bound prevents treating the preserved fragment as a complete crest.",https://www.researchgate.net/publication/281419012_New_information_on_the_skull_of_the_enigmatic_theropod_Spinosaurus_with_remarks_on_its_size_and_affinities
Spinosaurus aegyptiacus,crest_chord_m,0.12,0.18,m,sensitivity_range,"UCPC-2 is 180 mm long. The interval treats that incomplete element as a conservative geometric baseline rather than a whole-skull reconstruction.",https://www.researchgate.net/publication/281419012_New_information_on_the_skull_of_the_enigmatic_theropod_Spinosaurus_with_remarks_on_its_size_and_affinities
Spinosaurus aegyptiacus,crest_thickness_m,0.04,0.052,m,sensitivity_range,"UCPC-2 is 52 mm wide at its widest point. The lower bound allows for a tapered crest section.",https://www.researchgate.net/publication/281419012_New_information_on_the_skull_of_the_enigmatic_theropod_Spinosaurus_with_remarks_on_its_size_and_affinities
shared,speed_m_s,0.10,1.00,m/s,source_informed_range,"The published S. aegyptiacus flesh model estimated slow swimming at less than 1 m/s. This model samples only that stated range.",https://elifesciences.org/articles/80092
shared,head_first_entry_speed_m_s,0.50,3.00,m/s,assumption,"A head-first water entry or lunge can be faster than sustained swimming. This deliberately broad range is a scenario input, not a reconstructed Spinosaurus speed.",https://elifesciences.org/articles/80092
shared,immersion_fraction,0.10,1.00,fraction,assumption,"Fraction of crest height underwater during a crest-contact episode. The model intentionally does not assign drag when the crest remains dry during wading.",https://elifesciences.org/articles/80092
shared,off_axis_angle_deg,15,90,degrees,assumption,"Angle between crest plane and local flow during an off-axis head movement. This exposes the lateral crest profile progressively from 15 to 90 degrees.",https://www.science.org/doi/10.1126/science.adx5486
shared,edge_pressure_cd,0.50,1.20,coefficient,assumption,"Broad sensitivity range for pressure drag on an incompletely reconstructed edge-on biological structure. It is not a CFD-derived value.",https://www.science.org/doi/10.1126/science.adx5486
shared,head_first_entry_cd,0.90,1.40,coefficient,assumption,"The reconstruction shows a crest that rises near-perpendicular to the snout, so the head-first-entry case uses a higher leading-edge pressure coefficient than steady aligned swimming. It is not a CFD-derived value.",https://www.science.org/doi/10.1126/science.adx5486
shared,broadside_pressure_cd,1.00,1.40,coefficient,assumption,"Sensitivity range spanning a bluff, plate-like lateral profile. It is not a CFD-derived value.",https://www.science.org/doi/10.1126/science.adx5486
shared,skin_friction_cf,0.003,0.012,coefficient,assumption,"Sensitivity range for turbulent skin friction on uncertain rough biological surfaces. It is not a CFD-derived value.",https://www.science.org/doi/10.1126/science.adx5486
shared,water_density_kg_m3,1000,1000,kg/m^3,standard_constant,"Freshwater reference density used for a riverine sensitivity analysis.",https://www.nist.gov/pml/owm/si-units-mass-density
