taxon,source,date,evidence_type,environment_family,descriptor,strength,url,notes
Spinosaurus mirabilis,UChicago News,2026-02-19,locality,inland_riparian,"central Sahara; forested inland habitat dissected by rivers",3,https://news.uchicago.edu/story/hell-heron-dinosaur-discovered-central-sahara,"Explicitly states inland habitat and river-dissected setting"
Spinosaurus mirabilis,UChicago News,2026-02-19,distance_to_sea,inland_riparian,"about 620 miles from the nearest marine shoreline",3,https://news.uchicago.edu/story/hell-heron-dinosaur-discovered-central-sahara,"Distance reported in article"
Spinosaurus mirabilis,PubMed abstract,2026-02-19,habitat,inland_riparian,"central Sahara alongside long-necked dinosaurs in a riparian habitat",3,https://pubmed.ncbi.nlm.nih.gov/41712711/,"Species description abstract"
Spinosaurus mirabilis,Reuters coverage,2026-02-19,sedimentology,inland_riparian,"fluvial sediments and an inland river system",3,https://uk.news.yahoo.com/fossils-species-huge-dinosaur-spinosaurus-190110495.html,"Newswire reporting"
Spinosaurus mirabilis,Reuters coverage,2026-02-19,community_association,inland_riparian,"sauropods, fish, and pterosaurs in a forested riparian ecosystem",2,https://www.europapress.es/ciencia/laboratorio/noticia-encuentran-nueva-especie-dinosaurio-spinosaurus-mirabilis-20260220144106.html,"Reported associated fauna"
Spinosaurus aegyptiacus,PubMed abstract,2026-02-19,deposit_context,nearshore_marginal,"nearshore deposits of northern Africa",3,https://pubmed.ncbi.nlm.nih.gov/41712711/,"Used as the reference species in the abstract"
Spinosaurus aegyptiacus,eLife article,2022-11-30,habitat_use,coastal_inland_margin,"frequented the margins of coastal and inland waterways",3,https://elifesciences.org/articles/80092,"Functional/ecological synthesis"
Spinosaurus aegyptiacus,eLife article,2022-11-30,range,coastal_inland_margin,"ranged far inland",2,https://elifesciences.org/articles/80092,"Shows inland range but not an inland-only signal"
Spinosaurus aegyptiacus,PLOS One article,2016-02-01,paleoenvironment,coastal_margin,"positively associated with coastal paleoenvironments",2,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0147031,"Genus-level context used as background"
Spinosaurus aegyptiacus,PLOS One article,2016-02-01,paleoenvironment,inland_access,"likely also occupied inland areas",2,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0147031,"Genus-level context used as background"
